gene_id	gene_name	SRR3222409_KO	SRR3222410_KO	SRR3222411_KO	SRR3222412_WT	SRR3222413_WT	SRR3222414_WT
ENSMUSG00000024883	Rin1	7.14735678640726	6.98237416409738	7.11447152579288	7.06652016341404	6.95708579526237	7.04822193928885
ENSMUSG00000024885	Aldh3b1	7.85121857150065	7.98759663051025	7.89125017354595	7.91673723980772	7.990421432409	8.21388996863441
ENSMUSG00000024887	Asah2	7.53448201578797	7.50203452827781	7.59973972763598	7.56251128870634	7.52777009302377	7.68068916965749
ENSMUSG00000024889	Rce1	8.43769224652233	8.33376582025567	8.35041430282275	8.36724075663821	8.50897236766418	8.37614357086057
ENSMUSG00000024891	Slc29a2	7.28369726987596	7.19248484467531	7.18655222279839	7.20506248841134	7.14907911257911	7.24455586123739
ENSMUSG00000024892	Pcx	7.91384428108631	8.06965506175928	8.12827556836448	8.28968712086001	8.20377013286913	8.48371305047713
ENSMUSG00000024896	Minpp1	8.58860481799122	8.78141193902971	8.63170301108027	8.62333828006567	8.66025080555109	8.48371305047713
ENSMUSG00000024897	Apba1	7.80142111710954	7.85607998801862	7.88287829128547	8.08838912561614	8.02526074480937	8.06492550906653
ENSMUSG00000024899	Papss2	8.13791300716695	7.95873900758381	7.87443409338318	7.95015022201291	8.01377655729657	8.12587878122255
ENSMUSG00000024900	Cpt1a	9.40812592392685	9.51043639412672	9.40002688395321	9.37695191773472	9.31215305304996	9.21433699380293
ENSMUSG00000024901	Peli3	7.12422198610358	7.19248484467531	7.08743043505694	7.31244285581093	7.25041500396184	7.15723618563183
ENSMUSG00000024902	Mrpl11	8.55900894076153	8.54316779572843	8.57854832140744	8.46449396995092	8.53854656595052	8.56415150782977
ENSMUSG00000024905	Tesmin	7.14735678640726	6.86029628209775	6.95170575136151	6.99827770286894	6.98814330505843	7.02199656034898
ENSMUSG00000024906	Mus81	7.83490841212798	8.07839214432852	7.97130771237981	7.97717541888985	7.88471899502938	7.95060294512189
ENSMUSG00000024907	Gal	6.69309390772734	6.69309390772734	6.69309390772734	6.86951062302783	6.92179713828805	6.82761009188626
ENSMUSG00000024908	Ppp6r3	9.35073013044684	9.61326715931275	9.43600283529278	9.53619273788338	9.52380717807011	9.21883905222431
ENSMUSG00000024909	Efemp2	9.62033809557968	9.63140776868367	9.58828920445225	9.61669889315774	9.56487156527466	9.5505294072652
ENSMUSG00000024910	Ctsw	6.69309390772734	6.92942181245522	6.95170575136151	6.81787819900811	6.87989438758328	6.88325973737487
ENSMUSG00000024911	Fibp	9.20489822363549	9.19276026205287	9.09044406686721	9.05824932430555	9.10946672501595	9.1520486678936
ENSMUSG00000024912	Fosl1	6.83727858405132	6.69309390772734	6.69309390772734	6.69309390772734	6.82522789473628	6.69309390772734
